iter	Ke_x(1)	Emax_lxr_x(1)	EC50_lxr_x(1)	Ka_fas(1)	Ka_fas_lxr(1)	Ki_fas(1)	Ka_cd36(1)	Ka_cd36_lxr(1)	Ki_cd36(1)	Kf_tga(1)	Ka_tga_fas(1)	Ka_tga_cd36(1)	Ke_tga(1)	LnPrior	LnData	LnPosterior
0	6.55495	4.23502	0.0924965	1.54407	5.60995	1.31338	0.934789	0.930548	0.931991	0.432999	1.61743	1.21878	3.274	-1.598744e+01	-7.462609e+03	-7.478596e+03
10080	3.03943	1.03583	0.00952434	0.822734	2.35619	1.07711	0.545955	0.0805975	0.944267	0.328799	0.741169	5.11526	1.42457	-1.598744e+01	8.837743e+01	7.238999e+01
10170	2.86353	1.06658	0.0119216	1.07218	2.37649	1.15195	0.498968	0.211417	0.917859	0.109964	0.508029	6.7505	1.69656	-1.598744e+01	8.403086e+01	6.804341e+01
10260	2.94073	1.09141	0.0131528	1.10699	2.75122	1.29391	0.419263	0.295699	0.915942	0.466478	0.54136	5.86899	1.68568	-1.598744e+01	8.818055e+01	7.219311e+01
10350	3.0064	1.08575	0.0121584	0.647545	3.0368	1.21015	0.443949	0.245305	0.858863	0.223604	0.469356	5.10483	1.32284	-1.598744e+01	8.616251e+01	7.017507e+01
10440	2.81113	1.1315	0.0161468	0.606431	2.84892	1.08003	0.439419	0.188284	0.840366	0.408674	0.528058	5.7367	1.54676	-1.598744e+01	8.856483e+01	7.257739e+01
10530	2.92957	1.06036	0.0126305	0.61432	3.78835	1.45264	0.467856	0.289132	0.951688	0.405012	0.324646	4.9231	1.18575	-1.598744e+01	8.907562e+01	7.308818e+01
10620	2.93097	1.0729	0.0128416	0.488764	3.16665	1.12997	0.34832	0.0962755	0.680106	0.515473	0.3641	4.69104	1.05604	-1.598744e+01	8.746741e+01	7.147997e+01
10710	2.99622	1.04764	0.0118453	0.445397	3.47744	1.15618	0.270514	0.208332	0.546358	0.596743	0.243842	4.96891	1.19343	-1.598744e+01	8.695122e+01	7.096377e+01
10800	3.04283	0.992305	0.00870783	0.612333	3.33964	1.23374	0.221533	0.120407	0.405507	0.501873	1.20065	4.09856	1.71022	-1.598744e+01	8.879746e+01	7.281002e+01
10890	3.03813	0.960248	0.00911411	1.1442	2.56921	1.30874	0.175851	0.171648	0.358713	0.566162	0.989107	3.2389	1.27778	-1.598744e+01	8.652839e+01	7.054095e+01
10980	2.91449	0.969221	0.0107808	0.987658	2.61379	1.15767	0.235931	0.0196803	0.35199	0.690111	1.00529	1.31687	0.994727	-1.598744e+01	8.757060e+01	7.158316e+01
11070	2.99957	1.01052	0.01059	0.695654	3.23221	1.21029	0.219987	0.090059	0.424408	0.487451	1.22271	2.65607	1.33192	-1.598744e+01	9.010130e+01	7.411386e+01
11160	2.95489	0.986147	0.0106158	0.771016	2.70759	1.13881	0.318944	0.0543379	0.526768	0.870857	1.59531	0.16193	1.20326	-1.598744e+01	9.124369e+01	7.525625e+01
11250	2.90218	1.02792	0.0116467	0.687771	2.26214	0.905016	0.399974	0.119408	0.754387	0.530027	1.29064	1.97906	1.17921	-1.598744e+01	9.116753e+01	7.518009e+01
11340	2.91938	1.00964	0.0111211	0.79509	2.16409	0.935803	0.300003	0.107249	0.545839	0.793804	1.4283	0.472638	1.17205	-1.598744e+01	9.166736e+01	7.567992e+01
11430	2.9268	1.10577	0.0130679	1.22158	2.44162	1.33498	0.233847	0.0731259	0.46234	0.626504	1.5591	0.922685	1.30917	-1.598744e+01	8.476745e+01	6.878001e+01
11520	2.8663	1.01249	0.0129137	1.23207	2.19973	1.19959	0.351451	0.0958181	0.641068	0.381457	1.25417	2.32548	1.26414	-1.598744e+01	8.975753e+01	7.377009e+01
11610	2.89276	1.07142	0.0139839	0.868869	2.7043	1.09121	0.346362	0.143682	0.67207	0.501467	1.09121	3.59052	1.47423	-1.598744e+01	9.063768e+01	7.465023e+01
11700	3.01003	1.09741	0.0133385	0.630631	1.78971	0.743302	0.271458	0.13638	0.516668	0.439739	1.9132	4.56779	2.32408	-1.598744e+01	8.606203e+01	7.007459e+01
11790	2.87987	1.03852	0.0129137	0.652013	1.88775	0.77802	0.250189	0.178229	0.513423	0.509891	2.26283	2.07423	1.99163	-1.598744e+01	9.038183e+01	7.439439e+01
11880	2.84069	1.08703	0.0156219	0.684798	2.10707	0.82916	0.213843	0.138248	0.397779	0.729767	2.00628	1.52342	1.8894	-1.598744e+01	8.908617e+01	7.309873e+01
11970	2.83931	1.08793	0.0142701	0.693294	2.7754	1.08353	0.220732	0.0106046	0.359778	0.346872	2.09809	3.92137	2.26938	-1.598744e+01	8.830834e+01	7.232089e+01
